group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
해은_규민,TGsRgRawz40,환승연애2🎀14화 규민이와 제주도 비행기 탈 생각에 신난 해은이ㅋㅋㅋ (feat.아싸 해은),69693,815,39,0.8,0.0,0.2,2022-09-17T17:01:41Z
희두_나연,J5KiJ666usY,반복되는 말싸움을 멈추는 해결책 - 환승연애2 희두 나연 사례 분석 | 심리대화 LBC,69625,919,167,0.0,0.8,0.2,2022-10-04T08:15:00Z
희두_나연,Zcyc7gpPxj4,환승연애2 현규 해은 규민 현실커플 지인 폭로. 희두 나연 현커증거 딱 걸렸다,68635,84,5,0.8,0.2,0.0,2022-10-03T21:30:04Z
해은_규민,Zcyc7gpPxj4,환승연애2 현규 해은 규민 현실커플 지인 폭로. 희두 나연 현커증거 딱 걸렸다,68635,84,5,0.8,0.2,0.0,2022-10-03T21:30:04Z
해은_규민,vB-z8bW12Xk,환승연애2 현규 눈 스캔 포착 제작진이 뿌린 현규 해은 스포 규민 해은 이별이유 편지,66835,239,24,0.5,0.25,0.25,2022-10-12T22:00:35Z
해은_규민,j469V4w_3Bw,[환승연애2]18화 현규x해은x규민 진실게임 #환승연애2,62668,302,58,0.5,0.25,0.25,2022-10-14T08:16:09Z
희두_나연,0c4TStqVMwM,연고전이 맺어준 커플 &#39;나연❤️희두&#39; 남친 이야기에 수줍음 가득💕 | 아는 형님 404회 | JTBC 231014 방송,61337,493,5,0.0,0.33,0.67,2023-10-14T12:59:04Z
희두_나연,6oYxbNhaYAI,희두랑 결혼하는 꿈 꾼 나연이💍 (feat. 오열엔딩),59746,934,13,0.6,0.2,0.2,2024-01-14T14:00:08Z
희두_나연,iyXKxM_Feqo,환승연애2 🎀 나연이 손바닥 안에 있는 희두ㅋㅋㅋ,59050,172,7,0.4,0.2,0.4,2022-09-01T06:19:04Z
해은_규민,g2R7Jt7_z-k,환승연애2 현규 근황 포착 해은 규민 관계 밝힌 지인 등판 현규 실물 난리난 상황,58175,200,16,0.25,0.75,0.0,2022-10-11T08:51:50Z
해은_규민,ARB1lHsl2Bg,환승연애2 해은 규민 마지막 웃음,57177,905,11,0.8,0.2,0.0,2022-10-21T12:33:56Z
희두_나연,qizJA33Ffh8,도쿄 디즈니씨에 간 희두와 나연이🧜‍♀️,56881,1090,5,0.8,0.0,0.2,2024-01-16T10:00:38Z
